bfs_nr,JAHR,Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder [Anz.] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Bevölkerung [Pers.] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Ø steuerbares Vermögen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",MIV-Anteil (Modal Split) [%] ,Motorrad-Neuzulassungen [Anz.] ,Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] ,municipality,canton,electric_car_charging_spot_count,electric_cars_per_charging_spot
213,2023,21.4,37.9,220,101.9,5.5,2182,84294,716000000,0.0,5585.0,89.0,13,6.0,34.5,229.0,Brütten,ZH,0,999.0
214,2023,22.7,39.2,131,119.9,6.0,1126,62402,346000000,0.0,2676.0,90.0,0,0.0,41.2,220.0,Dägerlen,ZH,0,999.0
215,2023,16.4,41.3,56,67.6,3.9,842,80925,825000000,0.0,1992.0,91.0,2,2.4,28.6,180.0,Dättlikon,ZH,0,999.0
216,2023,20.3,36.3,210,121.4,4.2,1737,72058,555000000,31.1,4911.0,91.0,5,2.9,19.5,258.0,Dinhard,ZH,3,17.7
218,2023,22.9,39.5,135,130.4,4.8,1024,67079,309000000,0.0,4008.0,94.0,4,3.9,38.9,332.0,Ellikon an der Thur,ZH,1,41.0
219,2023,21.7,36.6,337,91.1,3.1,3757,62758,369000000,55.9,11699.0,85.0,16,4.3,27.6,209.0,Elsau,ZH,4,18.5
220,2023,23.1,38.2,150,130.9,2.3,1163,60314,300000000,0.0,3245.0,92.0,4,3.5,4.8,515.0,Hagenbuch,ZH,0,999.0
221,2023,20.6,38.4,249,80.0,6.4,3219,80074,675000000,3.8,9186.0,87.0,11,3.5,38.6,218.0,Hettlingen,ZH,0,999.0
223,2023,19.9,38.3,630,109.5,4.2,5758,74646,508000000,0.5,18918.0,91.0,22,3.8,28.8,219.0,Neftenbach,ZH,7,24.7
224,2023,26.4,37.8,301,74.3,3.1,4124,57264,239000000,70.9,9856.0,82.0,15,3.7,20.4,336.0,Pfungen,ZH,2,44.5
225,2023,21.1,35.8,300,108.3,3.6,2812,62386,407000000,39.9,7647.0,88.0,13,4.7,25.9,208.0,Rickenbach,ZH,0,999.0
226,2023,17.8,38.1,112,147.6,4.1,775,59038,361000000,0.0,2357.0,91.0,5,6.6,36.4,260.0,Schlatt,ZH,0,999.0
227,2023,21.9,34.4,709,92.2,3.4,7846,74855,556000000,50.8,24977.0,86.0,23,3.0,24.4,219.0,Seuzach,ZH,20,9.1
228,2023,23.0,35.1,396,78.6,3.4,5177,53572,268000000,48.2,12982.0,90.0,19,3.8,37.9,244.0,Turbenthal,ZH,5,24.0
230,2023,30.9,32.5,6626,56.8,3.7,118989,55950,290000000,51.4,306938.0,71.0,320,2.7,23.7,179.0,Winterthur,ZH,138,14.2
231,2023,24.5,36.2,638,98.4,2.5,6712,53910,257000000,16.9,14703.0,85.0,31,4.8,27.4,391.0,Zell,ZH,2,50.0
241,2023,22.1,37.6,191,114.9,7.9,1696,91213,664000000,0.0,4936.0,88.0,11,6.6,29.7,257.0,Aesch,ZH,0,999.0
242,2023,25.2,34.0,666,94.6,4.5,7242,70107,392000000,61.0,16924.0,77.0,37,5.3,27.9,207.0,Birmensdorf,ZH,5,35.2
243,2023,32.3,32.1,1567,55.8,2.6,28092,50557,187000000,74.7,94042.0,85.0,99,3.5,20.5,150.0,Dietikon,ZH,49,9.6
244,2023,23.1,33.9,469,89.4,3.9,5242,69944,469000000,0.0,19377.0,85.0,41,7.8,23.5,206.0,Geroldswil,ZH,1,125.0
245,2023,27.1,35.6,547,80.1,2.3,6798,62166,381000000,0.0,22914.0,85.0,24,3.5,15.6,200.0,Oberengstringen,ZH,6,14.0
246,2023,20.0,40.9,317,123.6,4.4,2585,80751,611000000,0.0,7899.0,93.0,17,6.6,28.9,145.0,Oetwil an der Limmat,ZH,5,14.0
247,2023,35.8,32.9,1303,64.1,3.9,20508,53319,163000000,76.6,84669.0,78.0,81,4.0,18.7,156.0,Schlieren,ZH,52,11.4
248,2023,22.5,36.0,620,121.7,6.3,5491,131465,1528000000,44.4,11054.0,81.0,41,8.0,29.1,146.0,Uitikon,ZH,10,21.6
249,2023,24.1,35.7,403,98.0,3.4,4298,75769,536000000,0.1,9755.0,88.0,18,4.4,14.6,213.0,Unterengstringen,ZH,0,999.0
250,2023,24.8,34.7,760,73.6,3.3,10390,61915,323000000,56.3,41867.0,83.0,31,3.0,13.5,191.0,Urdorf,ZH,0,999.0
